Time	Clean	Noisy	Reconstructed
0.265137	1.87182	2.123	1.75517
0.265259	1.68454	2.41062	1.55219
0.265381	1.40928	0.500417	1.28061
0.265503	1.07789	0.068956	0.973296
0.265625	0.728789	7.01736	0.667432
0.265747	0.402483	-0.905558	0.400115
0.265869	0.136753	-4.26805	0.20398
0.265991	-0.0377877	1.85243	0.103318
0.266113	-0.101307	-1.13042	0.111182
0.266235	-0.0470918	0.345198	0.227804
0.266357	0.117658	-0.420109	0.440524
0.266479	0.372682	3.02639	0.725243
0.266602	0.687047	2.11218	1.04924
0.266724	1.0228	2.83445	1.37499
0.266846	1.33943	0.754217	1.66462
0.266968	1.59867	2.30965	1.88435
0.26709	1.76899	6.52255	2.00849
0.267212	1.82934	6.10481	2.02254
0.267334	1.77159	-0.376238	1.92491
0.267456	1.60154	3.43969	1.72715
0.267578	1.33821	1.60104	1.45265
0.2677	1.01158	0.386639	1.13387
0.267822	0.659102	0.735299	0.8086
0.267944	0.321236	3.16922	0.51545
0.268066	0.0367029	-0.540677	0.289327
0.268188	-0.16209	0.168812	0.157285
0.268311	-0.252868	1.70151	0.135302
0.268433	-0.226118	2.13012	0.226352
0.268555	-0.0862101	-2.42057	0.420011
0.268677	0.149119	2.79417	0.693634
0.268799	0.450857	-6.80912	1.01499
0.268921	0.782141	-1.15974	1.34601
0.269043	1.1026	1.50353	1.64732
0.269165	1.37313	0.53979	1.8828
0.269287	1.56048	2.7402	2.02392
0.269409	1.64121	1.43877	2.05311
0.269531	1.60442	6.06889	1.96589
0.269653	1.45308	2.28099	1.77142
0.269775	1.20362	-1.00018	1.49147
0.269897	0.884039	1.70567	1.15793
0.27002	0.530603	-3.14122	0.809037
0.270142	0.183539	2.91342	0.484917
0.270264	-0.117688	3.68243	0.22284
0.270386	-0.339038	4.82999	0.0528231
0.270508	-0.455905	-5.68291	-0.0059472
0.27063	-0.456023	-2.04336	0.0525876
0.270752	-0.340912	0.204496	0.220593
0.270874	-0.125695	0.376772	0.477215
0.270996	0.162682	-0.183347	0.790992
0.271118	0.488629	5.93342	1.12353
0.27124	0.812115	3.77774	1.43399
0.271362	1.09338	3.96905	1.68392
0.271484	1.29764	-0.694371	1.84178
0.271606	1.39918	0.0703124	1.88669
0.271729	1.38437	-0.541354	1.81093
0.271851	1.25333	1.24531	1.62089
0.271973	1.01983	1.92275	1.3364
0.272095	0.70976	-1.04653	0.988407
0.272217	0.358	-2.45938	0.615371
0.272339	0.00435048	2.74752	0.258781
0.272461	-0.311178	1.21005	-0.0417382
0.272583	-0.553079	-0.938936	-0.253097
0.272705	-0.694541	0.416464	-0.352665
0.272827	-0.720604	5.0251	-0.33097
0.272949	-0.629931	-1.04019	-0.19286
0.273071	-0.434959	-1.34605	0.043018
0.273193	-0.160432	3.16618	0.346369
0.273315	0.159512	2.93826	0.678782
0.273438	0.485375	1.17435	0.998222
0.27356	0.776954	1.35073	1.26398
0.273682	0.998083	0.153556	1.44146
0.273804	1.1209	-2.06188	1.50629
0.273926	1.12915	-1.66771	1.44722
0.274048	1.02005	3.85419	1.2675
0.27417	0.80469	1.7685	0.984526
0.274292	0.506677	2.52643	0.627875
0.274414	0.159362	-2.85339	0.235833
0.274536	-0.19809	-2.61295	-0.149068
0.274658	-0.525321	1.34933	-0.485042
0.27478	-0.785536	2.78655	-0.735967
0.274902	-0.94985	1.01915	-0.875655
0.275024	-1.00069	-2.22104	-0.890961
0.275146	-0.933855	-0.0320185	-0.783366
0.275269	-0.759045	2.36002	-0.568844
0.275391	-0.498679	5.45448	-0.276024
0.275513	-0.185271	-2.71128	0.0571439
0.275635	0.142411	0.973586	0.387834
0.275757	0.443916	-1.34835	0.673367
0.275879	0.681884	1.75065	0.876239
0.276001	0.826451	3.30348	0.968549
0.276123	0.858772	-2.56907	0.935308
0.276245	0.773246	2.42621	0.776243
0.276367	0.578175	-2.14476	0.505868
0.276489	0.294784	-0.83428	0.151818
0.276611	-0.0452762	3.10956	-0.248364
0.276733	-0.403669	-5.14233	-0.651616
0.276855	-0.739888	-2.53221	-1.01441
0.276978	-1.01604	-2.85655	-1.29785
0.2771	-1.2013	-0.993878	-1.47227
0.277222	-1.27557	0.160151	-1.52075
0.277344	-1.23183	-1.32949	-1.44109
0.277466	-1.07697	-4.0351	-1.24614
0.277588	-0.830971	0.474342	-0.962307
0.27771	-0.524574	1.68142	-0.626445
0.277832	-0.195621	-6.45832	-0.281583
0.277954	0.115391	0.935048	0.0281479
0.278076	0.370093	3.08699	0.262699
0.278198	0.536765	1.90237	0.390817
0.27832	0.594081	-1.01021	0.39374
0.278442	0.533625	0.170462	0.267422
0.278564	0.360882	-3.75055	0.0230362
0.278687	0.0945929	-0.138739	-0.314315
0.278809	-0.235455	-4.42848	-0.708527
0.278931	-0.591942	1.94948	-1.11671
0.279053	-0.934419	-0.830931	-1.49425
0.279175	-1.22407	-5.49338	-1.79998
0.279297	-1.42831	-5.19718	-2.00111
0.279419	-1.5246	-6.50322	-2.077
0.279541	-1.50312	-0.102183	-2.02165
