Time	Amplitude(Raw)		Time	Amplitude(windowed)		Hz	PSD		Time	Amplitude(denoised)
0.057373	-6.9829		0.057373	-0.224519		235	1.55609		0.057373	-0.723746
0.0576172	-3.79694		0.0576172	-0.123112		236	0.76772		0.0576172	-0.626978
0.0578613	0.397553		0.0578613	0.0129985		237	2.01546		0.0578613	-0.518881
0.0581055	-4.81739		0.0581055	-0.158828		238	3.27116		0.0581055	-0.402289
0.0583496	2.35653		0.0583496	0.0783408		239	2.15665		0.0583496	-0.280271
0.0585938	2.93653		0.0585938	0.098432		240	0.242723		0.0585938	-0.156029
0.0588379	0.105831		0.0588379	0.00357671		241	2.96857		0.0588379	-0.0328003
0.059082	3.05459		0.059082	0.104083		242	0.926719		0.059082	0.0862515
0.0593262	-3.15925		0.0593262	-0.10853		243	0.0858046		0.0593262	0.198134
0.0595703	-3.12786		0.0595703	-0.108328		244	0.634307		0.0595703	0.300121
0.0598145	1.10263		0.0598145	0.0384976		245	4.64818		0.0598145	0.38984
0.0600586	1.6307		0.0600586	0.057395		246	2.37584		0.0600586	0.465348
0.0603027	-0.199741		0.0603027	-0.00708679		247	1.27505		0.0603027	0.525185
0.0605469	-0.632209		0.0605469	-0.0226105		248	1.29846		0.0605469	0.568422
0.060791	-2.31572		0.060791	-0.083481		249	1.08583		0.060791	0.594682
0.0610352	0.766731		0.0610352	0.0278601		250	0.00749563		0.0610352	0.604152
0.0612793	-2.72282		0.0612793	-0.0997204		251	0.584871		0.0612793	0.597564
0.0615234	1.33925		0.0615234	0.0494354		252	1.87412		0.0615234	0.576169
0.0617676	-0.00755418		0.0617676	-0.000281035		253	3.697		0.0617676	0.541685
0.0620117	2.02642		0.0620117	0.0759774		254	5.20121		0.0620117	0.496235
0.0622559	-4.18504		0.0622559	-0.158134		255	2.8185		0.0622559	0.44227
0.0625	1.77535		0.0625	0.0676029		256	3.37344		0.0625	0.38248
0.0627441	0.355572		0.0627441	0.0136443		257	3.79635		0.0627441	0.319699
0.0629883	1.92689		0.0629883	0.0745092		258	3.54061		0.0629883	0.256802
0.0632324	0.803223		0.0632324	0.0312971		259	4.89565		0.0632324	0.196607
0.0634766	0.957622		0.0634766	0.0375981		260	3.45007		0.0634766	0.141771
0.0637207	3.33693		0.0637207	0.13201		261	5.15756		0.0637207	0.0947026
0.0639648	-1.71807		0.0639648	-0.0684823		262	1.44965		0.0639648	0.0574718
0.064209	-0.678164		0.064209	-0.0272356		263	0.0491405		0.064209	0.0317407
0.0644531	2.98819		0.0644531	0.12091		264	0.804598		0.0644531	0.0187033
0.0646973	2.63567		0.0646973	0.107444		265	1.04936		0.0646973	0.0190438
0.0649414	-1.32995		0.0649414	-0.0546202		266	0.206874		0.0649414	0.0329123
0.0651855	-2.63025		0.0651855	-0.108825		267	7.0483		0.0651855	0.0599181
0.0654297	-0.758226		0.0654297	-0.0316033		268	4.86358		0.0654297	0.0991431
0.0656738	-0.923932		0.0656738	-0.0387938		269	5.1284		0.0656738	0.149172
0.065918	-0.533961		0.065918	-0.0225844		270	3.8339		0.065918	0.208143
0.0661621	0.736686		0.0661621	0.0313867		271	3.8894		0.0661621	0.273807
0.0664062	0.406483		0.0664062	0.0174445		272	2.28776		0.0664062	0.34361
0.0666504	1.044		0.0666504	0.0451293		273	0.895209		0.0666504	0.41478
0.0668945	0.688539		0.0668945	0.0299789		274	0.578015		0.0668945	0.484421
0.0671387	3.03038		0.0671387	0.132893		275	1.90332		0.0671387	0.549615
0.0673828	2.13493		0.0673828	0.0942961		276	1.14833		0.0673828	0.607527
0.067627	4.23549		0.067627	0.188412		277	0.628409		0.067627	0.655497
0.0678711	-1.70188		0.0678711	-0.0762459		278	6.04522		0.0678711	0.691144
0.0681152	1.62339		0.0681152	0.0732454		279	6.83808		0.0681152	0.712441
0.0683594	4.07831		0.0683594	0.18531		280	1.25026		0.0683594	0.717796
